step,training loss,testing acc
0,2.301998,0.1939
50,0.12857014,0.9241
100,0.09354048,0.9644
150,0.090249546,0.969
200,0.16650625,0.9765
250,0.040223293,0.9813
300,0.026447408,0.9814
350,0.028774925,0.9848
400,0.21643716,0.9835
450,0.03276778,0.9867
0,0.08532097,0.9861
50,0.1060822,0.9849
100,0.05433508,0.9873
150,0.0682242,0.9854
200,0.052084316,0.9871
250,0.036942393,0.9885
300,0.052877218,0.9893
350,0.049153745,0.9881
400,0.023226947,0.989
450,0.04327393,0.9878
0,0.029770099,0.9899
50,0.015547872,0.9899
100,0.015618648,0.986
150,0.023609176,0.9918
200,0.011522274,0.9908
250,0.10003053,0.9914
300,0.0055980794,0.9912
350,0.0397288,0.9907
400,0.19118543,0.9897
450,0.035720747,0.9912
0,0.020591747,0.9926
50,0.03706006,0.9876
100,0.0149406195,0.992
150,0.018676143,0.9911
200,0.01024624,0.9913
250,0.011755712,0.99
300,0.045902964,0.9916
350,0.03785422,0.9924
400,0.017526768,0.9912
450,0.03385303,0.9925
0,0.06683304,0.9896
50,0.03870042,0.9918
100,0.004653305,0.9909
150,0.032238327,0.9906
200,0.037434496,0.9922
250,0.023064338,0.9916
300,0.023954764,0.9896
350,0.07334555,0.992
400,0.034348708,0.9924
450,0.005457349,0.9911
0,0.002452962,0.9919
50,0.047618352,0.9915
100,0.011673108,0.9914
150,0.0044584423,0.99
200,0.018816955,0.9915
250,0.007943708,0.9935
300,0.022017881,0.9916
350,0.0034502968,0.9919
400,0.017640073,0.9913
450,0.003987707,0.9924
